french,english
amende,fine
permis de conduire,driver's license
code de la route,highway code
priorité,priority/right of way
céder,to yield
s'arrêter,to stop
ralentir,to slow down
panneau,sign
indication,indication
signalisation,signage
feu rouge,red light
feu vert,green light
feu orange,amber light
stop,stop
cédez le passage,yield
sens interdit,no entry
interdit,forbidden
obligation,mandatory
danger,danger
avertissement,warning
direction,direction
sortie,exit
entrée,entrance
stationnement,parking
stationnement interdit,no parking
zone piétonne,pedestrian zone
passage piéton,pedestrian crossing
hôtel,hotel
auberge,inn
auberge de jeunesse,youth hostel
chambre d'hôtes,bed and breakfast
pension,guesthouse
camping,campsite
location,rental
réservation,reservation
chambre,room
simple,single
double,double
lit,bed
salle de bain,bathroom
douche,shower
toilettes,toilet
clé,key
carte,key card
étage,floor
ascenseur,elevator
escalier,stairs
réception,reception
réceptionniste,receptionist
concierge,concierge
bagagiste,porter
femme de chambre,chambermaid
service d'étage,room service
petit-déjeuner,breakfast
déjeuner,lunch
dîner,dinner
restaurant,restaurant
bar,bar
piscine,pool
spa,spa
gymnase,gym
blanchisserie,laundry
réveil,wake-up call
wifi,wifi
connexion internet,internet connection
climatisation,air conditioning
chauffage,heating
agence de voyages,travel agency
agent de voyages,travel agent
forfait,package
tout compris,all-inclusive
réserver,to book
annuler,to cancel
confirmer,to confirm
modifier,to modify
disponibilité,availability
complet,full/booked
liste d'attente,waiting list
saison,season
haute saison,high season
basse saison,low season
tarif,rate/fare
prix,price
promotion,special offer
réduction,discount
offre spéciale,special offer
assurance voyage,travel insurance
passeport,passport
visa,visa
carte d'identité,ID card
permis de conduire,driver's license
permis international,international license
assurance,insurance
carte d'assurance,insurance card
billet,ticket
billet électronique,e-ticket
réservation,reservation
confirmation,confirmation
itinéraire,itinerary
voucher,voucher
carte d'embarquement,boarding pass
déclaration,declaration
formulaire,form
validité,validity
expiration,expiration
prolongation,extension
renouvellement,renewal
argent,money
espèces,cash
monnaie,currency/change
billet,bill/note
pièce,coin
euro,euro
centime,cent
devise,currency
change,exchange
taux de change,exchange rate
bureau de change,currency exchange
banque,bank
distributeur,ATM
carte bancaire,bank card
carte de crédit,credit card
code,PIN
paiement,payment
payer,to pay
facture,bill/invoice
reçu,receipt
urgence,emergency
accident,accident
blessure,injury
malade,sick
médecin,doctor
hôpital,hospital
pharmacie,pharmacy
médicament,medication
ordonnance,prescription
ambulance,ambulance
police,police
pompiers,firefighters
secours,help/rescue
SOS,SOS
aide,help
assistance,assistance
problème,problem
danger,danger
sécurité,safety/security
protection,protection
temps,weather
météo,weather forecast
climat,climate
saison,season
température,temperature
chaud,hot
froid,cold
humide,humid
sec,dry
pluie,rain
neige,snow
vent,wind
orage,storm
brouillard,fog
nuage,cloud
soleil,sun
gelée,frost
verglas,black ice
tempête,storm
ouragan,hurricane
