spanish,english
visa,visa
documento de identidad,ID card
licencia de conducir,driver's license
seguro de viaje,travel insurance
tarjeta de crédito,credit card
efectivo,cash
divisas,currency
cambio de moneda,currency exchange
cheques de viajero,traveler's checks
formulario,form
declaración,declaration
aduana,customs
inmigración,immigration
fronteras,borders
validez,validity
caducidad,expiration
sello,stamp
permiso,permit
extranjero,foreigner
transporte público,public transportation
billete sencillo,one-way ticket
billete de ida y vuelta,round-trip ticket
abono/tarjeta,pass/card
validar,to validate
máquina expendedora,ticket machine
recarga,reload/top-up
tarifa,fare
descuento,discount
gratuito,free
estudiante,student
jubilado,retired/senior
discapacitado,disabled
conexión,connection
transbordo,transfer
directo,direct
ruta,route
línea,line
frecuencia,frequency
horario,schedule
emergencia,emergency
policía,police
ambulancia,ambulance
bomberos,fire department
hospital,hospital
médico,doctor
farmacia,pharmacy
ayuda,help
peligro,danger
seguro,safe/insurance
robo,theft
perdido,lost
encontrado,found
objetos perdidos,lost and found
denuncia,report (to police)
accidente,accident
herido,injured
primeros auxilios,first aid
evacuación,evacuation
salida de emergencia,emergency exit
atracción,attraction
monumento,monument
museo,museum
galería,gallery
teatro,theater
cine,cinema
parque,park
jardín,garden
plaza,square
catedral,cathedral
iglesia,church
palacio,palace
castillo,castle
estatua,statue
fuente,fountain
mirador,viewpoint
tour,tour
entrada,entrance/ticket
salida,exit
guía,guide
clima,climate
tiempo,weather
temperatura,temperature
lluvia,rain
nieve,snow
sol,sun
nube,cloud
viento,wind
tormenta,storm
calor,heat
frío,cold
húmedo,humid
seco,dry
pronóstico,forecast
montaña,mountain
playa,beach
mar,sea
río,river
lago,lake
bosque,forest
viaje de negocios,business trip
vacaciones,vacation/holiday
luna de miel,honeymoon
viaje escolar,school trip
intercambio,exchange
año sabático,gap year
mochilero,backpacker
aventura,adventure
ecoturismo,ecotourism
turismo rural,rural tourism
turismo cultural,cultural tourism
peregrinación,pilgrimage
crucero,cruise
escapada,getaway
viaje organizado,package tour
viaje independiente,independent travel
turismo de sol y playa,beach tourism
turismo de montaña,mountain tourism
turismo gastronómico,food tourism
turismo de compras,shopping tourism
aerolínea,airline
mostrador de facturación,check-in counter
equipaje facturado,checked luggage
equipaje de mano,carry-on luggage
peso permitido,weight allowance
exceso de equipaje,excess baggage
cinta transportadora,conveyor belt
carrusel de equipaje,baggage carousel
etiqueta de equipaje,luggage tag
asiento de ventanilla,window seat
asiento de pasillo,aisle seat
asiento central,middle seat
salida de emergencia,emergency exit
tarjeta de embarque,boarding pass
puerta de embarque,boarding gate
sala de espera,waiting area
sala VIP,VIP lounge
retraso,delay
cancelación,cancellation
reprogramación,rescheduling
taxi,taxi
parada de taxi,taxi stand
taxímetro,taximeter
propina,tip
compartir,to share
uber,uber
aplicación,app
bicicleta pública,public bicycle
estación de bicicletas,bike station
carril bici,bike lane
patinete eléctrico,electric scooter
peatón,pedestrian
zona peatonal,pedestrian zone
acera/banqueta,sidewalk
callejón,alley
avenida,avenue
bulevar,boulevard
calle,street
túnel,tunnel
puente,bridge
gasolinera,gas station
estación de servicio,service station
gasolina,gasoline
diesel,diesel
combustible,fuel
repostar/cargar,to refuel
surtidor,fuel pump
manguera,hose
tapa del tanque,fuel cap
aceite,oil
presión de neumáticos,tire pressure
aire,air
agua,water
limpiaparabrisas,windshield wiper fluid
anticongelante,antifreeze
mecánico,mechanic
taller,workshop/garage
servicio,service
reparación,repair
lavado de coches,car wash
caminar,to walk
pasear,to stroll
correr,to run
nadar,to swim
bucear,to dive
esquiar,to ski
hacer senderismo,to hike
acampar,to camp
pescar,to fish
cazar,to hunt
remar,to row
navegar,to sail
escalar,to climb
montar a caballo,to ride horseback
hacer ciclismo,to cycle
hacer surf,to surf
hacer parapente,to paraglide
hacer puenting,to bungee jump
hacer canoping,to zipline
hacer rafting,to go rafting
frontera,border
control fronterizo,border control
aduana,customs
declaración de aduana,customs declaration
inmigración,immigration
oficial de inmigración,immigration officer
permiso de residencia,residence permit
extranjero,foreigner
ciudadano,citizen
nacionalidad,nationality
origen,origin
destino,destination
motivo del viaje,purpose of travel
duración de la estancia,length of stay
prohibido,prohibited
permitido,allowed
restricción,restriction
inspección,inspection
retención,detention
deportación,deportation
teléfono móvil/celular,mobile phone
cargador,charger
adaptador,adapter
enchufe,plug
voltaje,voltage
internet,internet
wifi,wifi
roaming,roaming
datos móviles,mobile data
red,network
señal,signal
batería,battery
aplicación de viaje,travel app
navegador,browser/navigator
mapa digital,digital map
traductor,translator
cámara,camera
foto,photo
video,video
memoria,memory
dinero,money
moneda,currency/coin
billete,bill/note
cambio,change/exchange
tipo de cambio,exchange rate
comisión,commission/fee
banco,bank
cajero automático,ATM
tarjeta de crédito,credit card
tarjeta de débito,debit card
efectivo,cash
cheque,check
recibo,receipt
factura,invoice/bill
total,total
precio,price
costo,cost
descuento,discount
propina,tip
gratis,free
horario,schedule/timetable
frecuencia,frequency
velocidad,speed
distancia,distance
duración,duration
conexión,connection
transferencia,transfer
trámite,procedure/paperwork
sistema,system
red,network
servicio,service
puntualidad,punctuality
comodidad,comfort
seguridad,safety/security
accesibilidad,accessibility
información,information
cobertura,coverage
punto de encuentro,meeting point
llegada,arrival
salida,departure
